id	Chinese	English	Japanese	Korean
10452	升阶	Ascend	進化	승계
10453	废弃	Deprecated	破棄	
10454	废弃	Deprecated	破棄	
10455	材料不足	Insufficient Materials	素材不足	재료 부족
10456	废弃	Deprecated	破棄	
10457	废弃文本-可以升阶			
10458	废弃	Deprecated	破棄	
10459	废弃	Deprecated	破棄	
10460	废弃	Deprecated	破棄	
10461	废弃	Deprecated	破棄	
10462	废弃	Deprecated	破棄	
10463	废弃	Deprecated	破棄	
10464	废弃	Deprecated	破棄	
10465	废弃	Deprecated	破棄	
10466	废弃	Deprecated	破棄	
10467	废弃	Deprecated	破棄	
10468	废弃	Deprecated	破棄	
10469	废弃	Deprecated	破棄	
10470	等级	Level	レベル	레벨
10471	可领取	Available	受取可能	수령 가능
10472	还未达到领奖天数~~~	You have not reached the amount of days required to collect the reward.	ボーナス受取可能な日数に達していません	보상 수령 일수에 아직 도달하지 않았습니다.
10473	第%s天	Day %s	%s日目	%s일차
10474	敌军已经逃跑啦！	The enemy has escaped!	敵が逃げました！	적들이 도망쳤습니다!
10475	战 斗	Battle	戦 闘	전투
10476	挑战关卡	Challenge Stage	チャレンジステージ	스테이지 도전
10477	挑战外敌	Challenge Enemy	外敵チャレンジ	외적 도전
10478	MonsterGroup 表中找不到敌军组ID			
10479	击杀奖励预览	Slay Rewards Preview	撃破報酬一覧	처치 보상 목록
10480	废弃文本-敌军图标数量是  			
10481	MonsterGroup 表中找不到奖励组ID 			
10482	废弃文本-RewardGroup 的ShowItem 没有数据, 对应的ID是 			
10483	装备表找不到此id   			
10484	第%s关			스테이지 %s
10485	~|~|~|~|~|~|~|        删除装备报错背包没有   			
10486	存储地图临时装备信息             			
10487	删除  	Delete  	削除  	삭제  
10488	星解锁	Tier Unlock	☆で解放	성 해제
10489	英雄	Hero	異能者	영웅
10490	废弃文本	This text has been deprecated.	破棄テキスト	
10491	废弃文本-点击查看英雄属性			
10492	数量不足！	Insufficient quantity.	数が不足しています！	 수량이 부족합니다!
10493	已将所有英雄复活并恢复全部血量！	All heroes have been revived with their HP fully restored.	すべての異能者を復活させたと同時に、HPを最大限に回復できました！	모든 영웅을 부활시키고 전체 체력이 회복되었습니다!
10494	废弃文本-可将所有英雄复活并恢复全部血量			
10495	废弃文本-尚无伤亡的英雄			
10496	废弃文本-是否选择普通模式？			
10497	废弃文本-是否选择困难模式？			
10498	废弃	Deprecated	破棄	
10499	废弃文本-通过本层后可领取！			
10500	废弃文本-回复成功！			
10501	已成功复活英雄！	The hero has been revived successfully.	復活完了！	영웅이 부활되었습니다!
10502	废弃文本-已通过！			
10503	%02d时%02d分%02d秒	%02dh %02dm %02ds	%02d時間%02d分%02d秒	%02d시간 %02d분 %02d초
10504	废弃文本-  *******  推送更新远征节点信息    			
10505	废弃	Deprecated	破棄	
10506	废弃	Deprecated	破棄	
10507	废弃	Deprecated	破棄	
10508	确 定	Confirm	確 認	확인
10509	前 往	Go	G O	이동
10510	废弃	Deprecated	破棄	
10511	远征数据为nil			
10512	挑 战	Challenge	チャレンジ	도전
10513	天 兵	Divine Soldier	天 兵	
10514	天 将	Divine General	天 将	
10515	巨灵神	Giant Spirit	巨霊神	
10516	请选择要招募的英雄！	Select a hero to summon.	募集する異能者を選んでください！	모집할 영웅을 선택하세요!
10517	招 募	Summon	募 集	모집
10518	确定放弃购买本店商品？	Are you sure you want to cancel this purchase?	商品の購入をやめますか？	상점 상품을 구매하지 않으시겠습니까?
10519	商 店	Store	ショップ	상점
10520	放 弃	Cancel	や め る	포기
10521	请先移动至商店！	You must move closer to the store first.	まずはショップに移動してください！	상점으로 이동하세요!
10522	】数量不足！	] is insufficient.	】数が不足しています！	] 수량 부족!
10523	已到达购买上限！	The purchase limit has been reached.	これ以上購入できません！	구매 상한에 도달했습니다!
10524	试 炼	Trial	試 練	시련
10525	活动时间：	Event Time:	イベント日時：	이벤트 시간: 
10526	已购买	Purchased	購入済	구매완료
10527	废弃	Deprecated	破棄	
10528	商店未开启	The store is not open.	ショップが開放されていません	아직 상점이 오픈되지 않았습니다.
10529	达人领取奖励           	Collect Reward           	達人報酬           	달인 보상 수령           
10530	没有活动开启！	No events unlocked.	開催中のイベントがありません！	오픈된 이벤트가 없습니다!
10531	排行奖励	Ranking Reward	ランキング報酬	순위 보상
10532	废弃文本-后端返回的达人排名数据   			
10533	玩家达到	Reach Player Level	トレーナーレベルが	플레이어 도달
10534	级(	(	Lv(に達する	레벨(
10535	剩余：	Remaining:	残り：	잔여: 
10536	个(	(	個(	개(
10537	原价：	Original Price:	定価：	원가: 
10538	元	USD	円	원
10539	售 罄	Sold Out	売り切れ	매진
10540	剩余购买次数不足	Insufficient purchases remaining.	残り購入回数が不足しています	남은 구매 횟수가 부족합니다.
10541	(剩余时间：	(Remaining Time:	(残りタイム：	(남은 시간: 
10542	礼包结束	Pack Ended	パック販売終了	패키지 종료
10543	未激活	Not activated.	未解放	비활성
10544	尚未激活此礼包	This pack has not been activated.	このパックを解放していません	해당 패키지가 활성화되지 않았습니다.
10545	购买成功！	Your purchase was successful!	購入成功！	구매 완료!
10546	活动时间:	Event Time:	イベント日時:	이벤트 시간: 
10547	空	Null	空	없음
10548	%d天%02d时%02d分%02d秒	%dd %02dh %02dm %02ds	%d日%02d時間%02d分%02d秒	%d일 %02d시간 %02d분 %02d초
10549	立即前往	Go Now	参加	즉시 이동
10550	公会战	Guild Battle	ギルド戦	길드전
10551	锦标赛	Championship	チャンピオンシップ	챔피언십
10552	取消(	Cancel (	キャンセル(	취소(
10553	购买成功，请到邮箱中领取！	Your purchase was successful! Please check your mail!	購入成功！メールでお受け取りください！	구매가 완료되었습니다. 메일로 수령해주세요!
10554	玩家等级×	Player Level x	トレーナーレベル×	플레이어 레벨 ×
10555	特权等级×	VIP Level x	VIPレベル×	특권 레벨 ×
10556	限购：	Purchase Limit:	購入制限：	한정: 
10557	快速训练	Quick Train	クイックトレーニング	신속훈련
10558	概率掉落	Drop Chance	一定確率でドロップ	확률 드롭
10559	免费	Free	無料	무료
10560	>快速训练特权：每天增加免费<color=#FFA278>2次</color>，增加购买<color=#FFA278>8次</color></color>	> Quick Train VIP: Gain <color=#FFA278>2</color> daily free times and <color=#FFA278>8</color></color> purchases.	>クイックトレーニング特権：デイリー無料回数が<color=#FFA278>2回</color>増え、デイリー購入回数が<color=#FFA278>8回</color></color>増えます	>신속훈련 특권: 하루 <color=#FFA278>2회</color> 무료 횟수, <color=#FFA278>8회</color></color> 구매 횟수 추가.
10561	剩余:	Remaining:	残り:	잔여: 
10562	当前拥有<color=#529864>	You currently own <color=#529864>	現在所持<color=#529864>	현재 보유량: <color=#529864>
10563	</color>的	</color>.	</color>の	</color> 
10564	，快速训练后数量<color=#529864>溢出</color>的部分将会<color=#529864>丢失</color>，是否继续？	After the Quick Train, any <color=#529864>exceeding</color> amount will be <color=#529864>discarded</color>. Would you like to continue?	、クイックトレーニング後の<color=#529864>上限を超えた</color>アイテムは<color=#529864>獲得できません</color>。続けますか？	. 신속훈련 진행 시 <color=#529864>초과 수량</color>은 <color=#529864>소실</color>됩니다. 계속하시겠습니까?
10565	快速训练次数不足	Insufficient Quick Train times.	クイックトレーニング回数不足	신속훈련 진행 횟수 부족
10566	，领取奖励后数量<color=#529864>溢出</color>的部分将会<color=#529864>丢失</color>，是否继续？	After collecting the rewards, any <color=#529864>exceeding</color> amount will be <color=#529864>discarded</color>. Would you like to continue?	、報酬を受け取った後の<color=#529864>上限を超えた</color>アイテムは<color=#529864>獲得できません</color>。続けますか？	. 보상 수령 시 <color=#529864>초과 수량</color>은 <color=#529864>소실</color>됩니다. 계속하시겠습니까?
10567	获得物品	Obtain Item	獲得アイテム	아이템 획득
10568	+%d/分钟	+%d/m	+%d/分	+%d/분
10569	%)</color>n/分钟	%)</color>n/m	%)</color>n/分	%)</color>n/분
10570	即将解锁	Unlock Pending...	まもなく解放	 해제 예정
10571	废弃文本-初始刷设置  最新关卡   			
10572	废弃文本-设置  并且 已通关			
10573	废弃文本-设置  并且 已通关2       			
10574	开启简单     	Unlock Easy     	イージー開放     	간단 오픈     
10575	废弃文本-开启普通     			
10576	废弃文本-开启困难     			
10577	废弃文本-设置  并且 _level       			
10578	废弃文本-设置  并且 已通关3       			
10579	废弃文本----------执行关卡战斗---------			
10580	该章节已通关	This chapter has been cleared.	このチャプターはクリアしました	해당 스테이지를 클리어했습니다.
10581	该章节未开启	This chapter has not been unlocked.	このチャプターは未開放です	해당 스테이지가 오픈되지 않았습니다.
10582	废弃文本-关卡扫荡【			
10583	废弃文本-结束了！！！			
10584	解锁	Unlock	解放	해제
10585	%d/m	%d/m	%d/m	%d/m
10586	%)</color>/m	%)</color>/m	%)</color>/m	%)</color>/m
10587	<color=#FAA82D>赠送</color>	<color=#FAA82D>Gift</color>	<color=#FAA82D>送る</color>	<color=#FAA82D>증정</color>
10588	<color=#C32DFA>赠送</color>	<color=#C32DFA>Gift</color>	<color=#C32DFA>送る</color>	<color=#C32DFA>증정</color>
10589	关卡解锁中……	Unlocking stage...	ステージ解放中……	스테이지 해제 중……
10590	废弃文本-当前关卡ID 			
10591	废弃文本-当前关卡的状态 			
10592	废弃文本-当前已经挂机的时长 			
10593	废弃文本-服务器返回的挂机时长是负数，是不是调时间？？			
10594	废弃文本-挂机奖励  			
10595	废弃文本-          更新关卡ID   			
10596	废弃文本-          关卡状态     			
10597	没有这个关卡	Stage not found.	ステージが存在しません	해당 스테이지가 없습니다.
10598	等级不足	Insufficient level.	レベル不足	레벨이 부족합니다.
10599	开启未通关	Not cleared.	開放後未クリア	오픈 클리어 하지 않았습니다.
10600	废弃文本-已经通关			
10601	等待更新！	Waiting for update...	更新をお待ちください！	업데이트 중!
10602	解锁章节	Unlock Chapter	チャプター解放	스테이지 해제
10603	挑战关卡	Challenge Stage	チャレンジステージ	스테이지 도전
10604	等待后续开放	Waiting for opening later...	つづく	추후 오픈할 예정입니다.
10605	废弃文本-关卡战斗失败！			
10606	废弃文本-活动组ID  --- 			
10607	奖励组Id%s对应的前端显示字段ShowItem为空			
10608	废弃文本-扫荡次数为0次			
